DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2012-03-23,17.717741935483872,30.6,0.0,0.06967213114754098,5.653225806451613
2012-03-24,18.413793103448278,31.0,-0.5,0.0036842105263157894,6.255172413793104
2012-03-25,18.995,33.6,-1.0,0.03388888888888889,5.541666666666667
2012-03-26,16.65081967213115,34.2,0.0,0.12824561403508772,7.250819672131148
2012-03-27,14.153225806451612,29.5,-1.1,0.11933333333333333,8.12741935483871
2012-03-28,15.26290322580645,30.8,-1.1,0.005806451612903226,6.929032258064517
2012-03-29,17.85483870967742,32.2,-1.0,0.0,5.414516129032258
2012-03-30,19.541935483870965,32.2,2.1,0.0,5.180645161290323
2012-03-31,20.95,33.2,4.0,0.06949999999999999,6.678333333333333
2012-04-01,21.013333333333332,35.0,1.9,0.0,6.183333333333334
2012-04-02,19.763934426229508,35.3,-0.9,0.07614035087719298,5.839344262295082
2012-04-03,19.838709677419356,35.3,-2.0,0.07032786885245902,6.151612903225806
2012-04-04,21.322950819672133,35.7,1.0,0.005263157894736842,7.5393442622950815
2012-04-05,17.765573770491805,35.7,1.5,0.2972413793103448,9.50327868852459
2012-04-06,16.831147540983608,34.1,-1.8,0.08149999999999999,5.4868852459016395
2012-04-07,19.59,33.4,0.0,0.011355932203389832,6.676666666666667
2012-04-08,19.361016949152543,34.3,-1.0,0.0028070175438596493,5.350847457627118
2012-04-09,18.347540983606557,33.3,-5.8,0.09661016949152543,6.232786885245901
2012-04-10,18.72258064516129,31.5,-4.5,0.17559322033898303,5.290322580645161
2012-04-11,19.52741935483871,31.7,-5.2,0.128135593220339,4.456451612903226
2012-04-12,20.373770491803278,32.5,-4.2,0.04934426229508197,4.654098360655738
2012-04-13,19.674193548387095,32.3,-1.4,0.15017543859649124,5.083870967741936
2012-04-14,18.48,31.9,-0.8,0.2893103448275862,6.256666666666666
2012-04-15,17.43,28.2,-1.4,0.01966101694915254,4.86
2012-04-16,18.07741935483871,29.5,0.0,0.010172413793103447,6.225806451612903
2012-04-17,18.595161290322583,30.2,3.4,0.11366666666666665,5.395161290322581
2012-04-18,18.614516129032257,32.0,1.8,0.019838709677419356,6.15
2012-04-19,18.532258064516128,32.3,-1.0,0.22929824561403508,6.261290322580645
2012-04-20,18.127868852459017,30.0,-1.0,0.17200000000000001,5.647540983606557
2012-04-21,16.11,30.1,-5.6,0.025254237288135594,6.761666666666667
2012-04-22,13.178688524590164,28.8,-4.8,0.013389830508474577,4.945901639344262
2012-04-23,13.12258064516129,27.5,-4.4,0.015666666666666666,4.416129032258064
2012-04-24,12.112903225806452,26.8,-4.0,0.023442622950819673,4.808064516129033
2012-04-25,12.075409836065575,26.0,-6.0,0.10189655172413793,4.7360655737704915
2012-04-26,11.324193548387097,23.0,-8.0,0.21413793103448275,6.33225806451613
2012-04-27,9.609836065573772,23.0,-6.6,0.033114754098360656,4.863934426229508
2012-04-28,10.29672131147541,22.8,-4.5,0.10333333333333333,3.9836065573770494
2012-04-29,10.595081967213114,20.8,-4.8,0.07483333333333334,4.38688524590164
