DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2010-06-11,17.71060606060606,40.4,-2.0,0.001068702290076336,9.734399999999999
2010-06-12,19.568992248062017,35.0,0.0,0.0016406250000000002,8.002459016393443
2010-06-13,20.513178294573642,38.3,-2.0,0.0003125,5.11311475409836
2010-06-14,21.224242424242423,41.9,0.0,0.00015267175572519084,5.3456
2010-06-15,20.614503816793892,44.4,2.0,0.0003846153846153846,7.070161290322581
2010-06-16,18.59924812030075,44.5,-0.6,0.0,7.98968253968254
2010-06-17,18.659701492537312,40.5,-4.0,0.00022556390977443612,5.485826771653544
2010-06-18,18.7796992481203,43.4,-2.0,0.00015037593984962405,6.571428571428571
2010-06-19,17.918320610687026,43.4,0.0,0.00022900763358778628,7.539516129032258
2010-06-20,18.020454545454545,40.8,-3.0,0.0,6.6256
2010-06-21,18.965671641791044,39.7,0.0,0.00030303030303030303,6.207086614173228
2010-06-22,19.56044776119403,42.0,-1.0,0.0003007518796992481,5.118897637795276
2010-06-23,20.69776119402985,44.0,1.0,7.518796992481203e-05,5.076377952755906
2010-06-24,20.705223880597014,45.2,4.0,0.00030303030303030303,6.1299212598425195
2010-06-25,20.0390977443609,45.7,3.0,0.0018181818181818184,6.61984126984127
2010-06-26,20.262878787878787,45.0,3.0,0.0012307692307692308,6.2896
2010-06-27,22.091603053435115,47.2,3.0,0.00015384615384615385,4.809677419354839
2010-06-28,23.357142857142858,49.1,6.1,0.00022900763358778625,4.944444444444445
2010-06-29,22.39469696969697,49.2,4.0,0.0006153846153846154,5.792
2010-06-30,21.69772727272727,47.6,2.0,0.0006106870229007634,6.552
2010-07-01,20.79624060150376,47.6,-1.0,0.00015151515151515152,6.446031746031746
2010-07-02,20.551515151515154,45.6,-1.0,0.00022900763358778625,6.82
2010-07-03,20.586259541984735,43.4,0.0,0.00015384615384615385,6.794354838709677
2010-07-04,20.791603053435114,43.4,0.0,7.692307692307693e-05,6.055284552845528
2010-07-05,21.067175572519087,45.3,1.0,0.0007692307692307692,5.330645161290323
2010-07-06,20.453383458646616,45.3,0.0,0.0013636363636363635,6.192857142857142
2010-07-07,20.168181818181818,44.9,3.0,0.0016793893129770992,5.771199999999999
2010-07-08,20.581954887218046,46.2,4.0,0.0010526315789473686,5.757936507936508
2010-07-09,21.187878787878788,46.8,4.0,0.0007575757575757576,5.7016
2010-07-10,22.346616541353384,47.6,4.0,0.0015789473684210526,5.23015873015873
2010-07-11,22.367424242424242,47.9,2.0,0.0006976744186046512,5.616
2010-07-12,22.47218045112782,47.3,5.0,0.0011278195488721803,6.676984126984126
2010-07-13,22.548872180451127,47.5,4.0,0.0005303030303030304,6.946031746031746
2010-07-14,23.784210526315793,46.8,4.0,0.0,5.38968253968254
2010-07-15,25.62313432835821,49.4,6.7,0.007461538461538461,4.979527559055118
2010-07-16,25.743181818181817,47.2,8.3,0.004296875,5.6645669291338585
2010-07-17,25.091603053435115,49.3,7.0,0.001153846153846154,5.975806451612903
2010-07-18,24.4515625,46.1,6.0,0.0,5.790983606557377
2010-07-19,23.821969696969695,45.6,1.0,0.0,6.040944881889764
2010-07-20,22.448507462686567,49.9,2.0,0.0002255639097744361,6.04375
2010-07-21,21.390225563909777,48.9,1.0,0.00030303030303030303,6.466141732283465
2010-07-22,21.03925925925926,47.6,2.0,0.00022388059701492538,5.6069767441860465
2010-07-23,22.02074074074074,47.2,7.0,0.0,5.390697674418605
2010-07-24,22.657251908396947,48.6,7.0,7.751937984496124e-05,5.437600000000001
2010-07-25,22.408333333333335,49.2,7.0,0.0028787878787878787,5.903968253968253
2010-07-26,21.25,48.9,7.0,0.0010526315789473686,6.5078125
2010-07-27,20.24179104477612,47.4,6.0,0.0012686567164179104,6.2671875
2010-07-28,20.48134328358209,47.2,5.0,0.0,6.01875
2010-07-29,20.929850746268656,47.0,4.0,0.00037313432835820896,5.69609375
2010-07-30,21.337593984962407,47.2,2.0,0.0003846153846153846,5.674015748031496
2010-07-31,21.331818181818182,47.3,2.0,0.0007633587786259542,5.8087301587301585
2010-08-01,21.070229007633586,47.2,-2.0,0.00046153846153846153,5.1624
2010-08-02,21.297744360902254,44.5,-1.0,0.00022727272727272727,5.125984251968504
2010-08-03,21.810606060606062,45.9,-2.0,0.0003816793893129771,4.911904761904761
2010-08-04,21.925954198473285,47.1,0.0,0.0003846153846153846,5.2744
2010-08-05,21.046212121212122,47.3,2.0,0.00045454545454545455,5.693650793650794
2010-08-06,20.83030303030303,46.8,1.0,0.000534351145038168,5.660317460317461
2010-08-07,20.626717557251908,46.4,2.0,0.00046153846153846153,5.712
2010-08-08,20.225384615384616,43.8,3.0,0.0006976744186046512,5.899193548387097
2010-08-09,19.78181818181818,42.2,1.0,0.009618320610687021,5.4768
2010-08-10,20.428030303030305,43.5,2.0,0.0006153846153846154,5.519047619047619
2010-08-11,19.773134328358207,43.5,1.0,0.0014925373134328358,6.68984375
2010-08-12,19.59626865671642,42.3,0.0,0.00037593984962406017,5.3734375
2010-08-13,20.97089552238806,44.3,2.0,0.0004511278195488722,5.41015625
