DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2016-01-19,25.409708737864076,36.0,9.5,0.1913235294117647,5.813592233009708
2016-01-20,25.25631067961165,35.0,9.7,0.34323943661971834,5.965048543689321
2016-01-21,25.500970873786407,36.0,7.6,0.17037974683544302,6.442718446601942
2016-01-22,25.414563106796116,37.2,8.7,0.17256410256410254,6.106796116504855
2016-01-23,26.01888888888889,37.0,8.7,0.09549295774647888,5.497777777777778
2016-01-24,26.675555555555558,38.0,7.9,0.04123287671232877,5.8244444444444445
2016-01-25,27.43960396039604,39.0,17.0,0.08535211267605633,6.097029702970296
2016-01-26,26.92718446601942,37.0,8.4,0.08455882352941177,5.886407766990291
2016-01-27,26.0504854368932,38.0,7.9,0.13885714285714285,5.583495145631068
2016-01-28,26.04326923076923,36.0,7.5,0.22414285714285714,5.8798076923076925
2016-01-29,26.585436893203884,39.0,9.2,0.07984848484848484,5.86116504854369
2016-01-30,26.514285714285716,37.0,16.0,0.05359375,6.1230769230769235
2016-01-31,26.51208791208791,38.0,15.0,0.19782608695652174,6.153846153846154
2016-02-01,26.57843137254902,38.0,14.0,0.13949367088607595,5.104901960784314
2016-02-02,26.57281553398058,36.0,15.0,0.14202380952380952,5.101941747572815
2016-02-03,25.354545454545455,36.8,15.2,0.07783132530120482,4.442424242424242
2016-02-04,26.364077669902912,36.9,16.0,0.11914285714285715,4.978640776699029
2016-02-05,27.10097087378641,37.0,15.0,0.09868421052631579,5.471844660194175
2016-02-06,26.545054945054943,36.0,16.0,0.07014492753623189,5.478021978021978
2016-02-07,26.830434782608698,36.0,16.8,0.15942857142857142,5.732608695652174
2016-02-08,27.55533980582524,39.0,16.7,0.03512195121951219,5.713592233009709
2016-02-09,28.000980392156862,39.0,15.0,0.07304878048780489,5.670588235294117
2016-02-10,28.118446601941745,41.0,16.0,0.08558139534883721,5.2223300970873785
2016-02-11,27.1495145631068,39.0,15.4,0.13865671641791044,5.018446601941747
2016-02-12,26.784313725490197,37.0,9.0,0.09040540540540541,5.42843137254902
2016-02-13,26.681318681318682,36.0,7.6,0.04563380281690141,5.458241758241758
2016-02-14,27.456666666666667,39.0,18.0,0.09805970149253732,5.435555555555555
2016-02-15,26.267021276595745,37.0,7.0,0.13634920634920636,4.95531914893617
2016-02-16,27.155882352941177,38.0,9.1,0.23783783783783785,5.806862745098039
2016-02-17,27.665686274509806,39.0,14.9,0.10257575757575758,6.169607843137254
2016-02-18,26.386868686868688,39.0,7.4,0.1063013698630137,4.714141414141414
2016-02-19,27.063366336633663,40.0,8.1,0.11479452054794519,5.15940594059406
2016-02-20,26.928571428571427,36.1,17.0,0.1783606557377049,5.723076923076922
2016-02-21,26.492391304347827,39.0,17.0,0.06016129032258064,5.894565217391304
2016-02-22,26.518446601941747,39.0,8.3,0.06957142857142858,5.957281553398058
2016-02-23,26.636274509803922,40.0,16.0,0.1733333333333333,5.570588235294118
2016-02-24,26.91714285714286,41.0,15.6,0.08948051948051948,5.403809523809524
2016-02-25,27.167961165048546,38.0,16.0,0.10338235294117647,5.368932038834951
2016-02-26,27.015533980582525,39.0,17.5,0.094,5.773786407766991
