STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
82886099999,CABROBO,1995-07-27,1996-08-27,null,BR,-8.5166666,-39.3333333,341
81951099999,CABROBO,2016-07-04,2020-04-07,null,BR,-8.5,-39.3166666,343.5
86943099999,CACADOR,2016-07-04,2020-04-07,null,BR,-26.8166666,-50.8333333,953.5
86986099999,CACAPAVA DO SUL,2016-07-04,2020-04-07,null,BR,-30.5477778,-53.4675,451.5
83405099999,CACERES,1977-11-19,2003-09-17,null,BR,-16.05,-57.6833333,118
82965499999,CACHIMBO,1992-07-01,2011-11-15,null,BR,-9.333,-54.967,551
82930099999,CACHIMBO,1961-01-01,2020-04-07,null,BR,-9.333936,-54.965422,537.05
86622099999,CACOAL,2016-07-04,2020-04-07,null,BR,-11.45,-61.4333333,211.5
83339099999,CAETITE,1974-06-29,2013-07-10,null,BR,-14.05,-42.6166666,882
81875099999,CAICO,2016-07-04,2020-04-07,null,BR,-6.4666666,-37.0833333,171.5
86730099999,CAIPONIA,2016-07-04,2019-12-04,null,BR,-16.9666666,-51.8166666,738.5
86846099999,CALDAS,2016-07-04,2020-04-07,null,BR,-21.9166666,-46.3833333,1151.5
83681099999,CALDAS,1973-01-01,2013-04-30,null,BR,-21.9166666,-46.3833333,1150
86989099999,CAMAQUA,2016-07-04,2020-04-07,null,BR,-30.8105556,-51.8347222,109.5
81878099999,CAMARATUBA,2016-07-04,2019-11-17,null,BR,-6.6166666,-35.1333333,137.5
86854099999,CAMBUCI,2016-07-04,2020-04-07,null,BR,-21.5833333,-41.95,36.5
82263099999,CAMETA,1991-09-18,1995-09-24,null,BR,-2.25,-49.5,24
81710099999,CAMETA,2016-07-04,2019-12-04,null,BR,-2.25,-49.5,23.5
82796099999,CAMPINAGRANDE,1993-01-02,2001-10-28,null,BR,-7.2666667,-35.8833333,500
83729099999,CAMPINAS,1978-02-24,1981-03-24,null,BR,-22.9,-47.0833333,669
81916099999,CAMPNA GRANDE,2016-07-04,2020-04-07,null,BR,-7.2333333,-35.9,549.5
83748099999,CAMPO DELIO JARDIM DE MATTOS,1951-01-01,2020-04-07,null,BR,-22.875083,-43.384708,33.52
83671099999,CAMPO FONTENELLE,1973-01-01,2020-04-07,null,BR,-21.984561,-47.334764,599.84
83612099999,CAMPO GRANDE,1951-01-01,2020-04-07,null,BR,-20.468667,-54.6725,558.69
86810099999,CAMPO GRANDE,2016-07-04,2020-04-07,null,BR,-20.45,-54.6166666,531.5
83611099999,CAMPO GRANDE,1977-11-19,1996-09-04,null,BR,-20.45,-54.6166666,530
83783099999,CAMPO MOURAO,1990-12-23,1997-11-05,null,BR,-24.05,-52.3666666,616
86662099999,CAMPO NOVO DOS PARECIS,2016-07-04,2020-04-07,null,BR,-13.7833333,-57.8333333,571.5
86707099999,CAMPO VERDE,2016-08-29,2020-04-07,null,BR,-15.5333333,-55.1333333,750.5
86855099999,CAMPOS,2016-07-04,2020-04-07,null,BR,-21.7166666,-41.35,26.5
86872099999,CAMPOS DO JORDAO,2016-07-04,2020-04-07,null,BR,-22.75,-45.6,1581.5
83714099999,CAMPOS DO JORDAO,1991-08-13,1992-12-04,null,BR,-22.7333333,-45.5833333,1579
83887099999,CAMPOS NOVOS,1973-07-30,1997-09-02,null,BR,-27.4,-51.2,947
82777099999,CAMPOS SALES,1991-09-09,1996-09-09,null,BR,-7,-40.3833333,583
81909099999,CAMPOS SALES,2014-04-10,2020-03-15,null,BR,-7.0833333,-40.3666666,573.5
83270099999,CANARANA,2013-07-11,2013-07-11,null,BR,-13.5,-52.5,430
83398099999,CANAVIEIRAS,1990-01-03,2000-09-14,null,BR,-15.6666666,-38.95,5
86980099999,CANELA,2016-07-04,2020-04-07,null,BR,-29.3688889,-50.8275,831.5
86993099999,CANGUCU,2016-07-04,2020-04-07,null,BR,-31.4058333,-52.7011111,465.5
83967099999,CANOAS,1977-10-02,2020-04-07,null,BR,-29.945944,-51.144367,7.92
83952099999,CANOAS,1984-06-01,2007-10-14,null,BR,-29.9333333,-51.1333333,8
81847099999,CANTO DO BURITI,2016-07-05,2019-12-04,null,BR,-8.1166666,-42.9833333,309.5
86761099999,CAPELINHA,2016-09-12,2020-04-07,null,BR,-17.7,-42.3833333,933.5
86793099999,CAPINA VERDE,2016-07-05,2019-12-04,null,BR,-19.5333333,-49.5333333,548.5
82042099999,CARACARAI,1990-07-06,2003-03-07,null,BR,1.8333333,-61.1333333,95
81988099999,CARACOL,2016-07-04,2020-04-07,null,BR,-9.2833333,-43.3166666,524.5
82976099999,CARACOL,1996-04-30,1996-12-09,null,BR,-9.2833333,-43.3333333,523
82567099999,CARAJAS,2005-01-01,2020-04-07,null,BR,-6.117806,-50.003472,621.18
82764199999,CARAJAS,2004-08-08,2011-11-15,null,BR,-6.117,-50,637
82684399999,CARAJAS/MARABA,1987-01-20,1988-05-12,null,BR,-6.117,-50,618
83592099999,CARATINGA,1977-10-24,2003-06-06,null,BR,-19.8,-42.15,609
86802099999,CARATINGA,2016-07-04,2020-03-20,null,BR,-19.7333333,-42.1333333,616.5
82418099999,CARAUARI,1973-01-03,1989-09-02,null,BR,-4.95,-66.9,66
86764099999,CARAVELAS,2016-07-04,2020-04-07,null,BR,-17.7333333,-39.25,4.38
83497099999,CARAVELAS,1961-01-01,2008-10-27,null,BR,-17.652283,-39.253069,10.97
83498099999,CARAVELAS,1974-04-04,2013-07-10,null,BR,-17.7333333,-39.25,3
83408099999,CARINHANHA,1993-08-21,1995-06-10,null,BR,-14.1666666,-43.9166666,556
86615099999,CARIRA,2016-07-04,2020-04-07,null,BR,-10.4,-37.75,309.5
81978099999,CARLINDA,2016-07-04,2020-04-07,null,BR,-9.9666666,-55.8333333,301.5
83672499999,CARLOS PRATES,2007-07-17,2020-04-07,null,BR,-19.90925,-43.99075,927.81
82765099999,CAROLINA,1974-06-22,1994-09-25,null,BR,-7.3333333,-47.4666666,193
82764099999,CAROLINA,1973-01-01,2020-04-04,null,BR,-7.320444,-47.458667,172.21
81901099999,CAROLINA,2016-07-04,2020-04-07,null,BR,-7.3333333,-47.4666666,193.5
81956099999,CARUARU,2016-07-04,2020-04-07,null,BR,-8.2333333,-35.9833333,551.5
86844099999,CASA BRANCA,2016-07-04,2020-04-07,null,BR,-21.7833333,-47.0833333,731.5
83672699999,CASCAVEL,2007-07-17,2020-03-27,null,BR,-25.000339,-53.500764,753.77
86791099999,CASSILANDIA,2016-07-04,2020-04-07,null,BR,-19.1166666,-51.7166666,517.5
81682099999,CASTANHAL,2016-07-04,2020-04-05,null,BR,-1.3,-47.95,66.5
81829099999,CASTELO DO PIAUI,2016-07-04,2019-11-06,null,BR,-5.35,-41.5166666,287.5
83813099999,CASTRO,1990-03-11,1997-09-02,null,BR,-24.7833333,-50,1009
86921099999,CASTRO,2016-07-04,2020-03-25,null,BR,-24.7833333,-49.9833333,1008.86
83526099999,CATALAO,1977-08-09,2013-07-11,null,BR,-18.1833333,-47.95,840
86777099999,CATALAO,2016-07-07,2020-04-07,null,BR,-18.15,-47.9333333,891.5
83676099999,CATANDUVA,1989-11-19,2003-06-06,null,BR,-21.1333333,-48.9666666,536
81792099999,CAXIAS,2016-07-07,2020-02-22,null,BR,-4.8166666,-43.35,77.5
83942099999,CAXIAS DO SUL,2007-07-17,2020-03-26,null,BR,-29.1666666,-51.2,759
82596099999,CEARA-MIRIM,1978-04-20,1993-07-08,null,BR,-5.65,-35.4166666,61
83231599999,CHAPADA DIAMANTINA,2013-01-09,2020-04-07,null,BR,-12.482289,-41.276969,510.84
86719099999,CHAPADA GAUCHA,2016-07-04,2020-04-07,null,BR,-15.3,-45.6166666,881.5
86772099999,CHAPADAO DO SUL,2016-08-26,2020-02-22,null,BR,-18.8,-52.6,819.5
81749099999,CHAPADINHA,2016-07-05,2020-04-07,null,BR,-3.75,-43.35,92.5
83883099999,CHAPECO,1993-01-04,2020-04-06,null,BR,-27.1166666,-52.6166666,679
86898099999,CIDADE GAUCHA,2016-07-04,2020-04-07,null,BR,-23.3591667,-52.9319444,382.5
83192099999,CIPO *,1992-09-15,1996-03-01,null,BR,-11.0833333,-38.5166666,464
86939099999,CLEVELANDIA,2016-07-04,2020-04-07,null,BR,-26.4166666,-52.35,981.5
81770099999,COARI,2016-07-04,2020-01-13,null,BR,-4.1,-63.15,44.5
82425099999,COARI,1974-06-19,2003-12-05,null,BR,-4.0833333,-63.1333333,46
82326099999,CODAJAS,1990-05-01,2001-11-30,null,BR,-3.8333333,-62.0833333,49
81866099999,COLINAS,2016-07-04,2020-04-07,null,BR,-6.0333333,-44.2333333,180.5
83981099999,COMANDANTE GUSTAVO KRAEMER,1961-02-01,2020-04-07,null,BR,-31.390528,-54.112244,182.88
86661099999,COMODORO,2016-07-04,2020-04-07,null,BR,-13.7166666,-59.7666666,592.5
86794099999,CONCEICAO DAS ALAGOAS,2016-07-04,2020-04-07,null,BR,-19.9858333,-48.1525,569.5
82861099999,CONCEICAO DO ARAGUAIA,1973-11-18,2020-04-04,null,BR,-8.348347,-49.301528,199.03
81940099999,CONCEICAO DO ARAGUAIA,2016-07-04,2019-12-04,null,BR,-8.2833333,-49.2666666,181.5
83589099999,CONCEICAO DO MATO DENTRO,1990-04-20,1992-06-16,null,BR,-19.0333333,-43.4333333,675
86639099999,CONDE,2016-07-04,2020-04-07,null,BR,-11.8166666,-37.6166666,15.5
83566099999,CONFINS (AERO),2002-01-01,2020-04-06,null,BR,-19.6166667,-43.9666667,827
86606099999,CONFRESA,2016-07-04,2017-12-03,null,BR,-10.65,-51.5666666,238.5
83780099999,CONGONHAS,1973-01-01,2020-04-07,null,BR,-23.626692,-46.655375,801.92
86671099999,CORRENTINA,2016-09-12,2020-04-07,null,BR,-13.3333333,-44.6166666,550.5
86767099999,CORUMBA,2016-07-04,2020-04-07,null,BR,-19,-57.6333333,127.5
