STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
87912099999,SANTA CRUZ,1963-06-15,1992-11-13,null,AR,-50.01655,-68.579197,110.94
87623099999,SANTA ROSA,1958-04-13,2020-04-07,null,AR,-36.588322,-64.275694,192.02
87444099999,SANTA ROSA DE CONLARA,2017-03-02,2017-03-02,null,AR,-32.3833333,-65.1833333,615
87129099999,SANTIAGO DEL ESTERO,1973-01-01,2020-04-07,null,AR,-27.765617,-64.310122,199.94
87387099999,SAUCE,1976-09-22,1989-12-23,null,AR,-30.083,-58.767,68
87371099999,SAUCE VIEJO,1973-01-01,2020-04-07,null,AR,-31.711666,-60.811668,17.06
87645099999,TANDIL,1973-01-01,2020-04-07,null,AR,-37.237392,-59.227922,174.95
87121099999,TENIENTE BENJAMIN MATIENZO,1981-11-01,2020-04-07,null,AR,-26.840861,-65.104944,455.67
87127199999,TERMAS DE RIO HONDO ARPT,2017-05-31,2019-03-25,null,AR,-27.5,-64.9333333,280.11
87127199999,TERMAS DE RIO HONDO ARPT,2017-05-31,2019-03-25,null,AR,-27.5,-64.9333333,280.11
87211099999,TINOGASTA,1973-01-01,1990-09-26,null,AR,-28.03775,-67.580314,1209.44
87936099999,TOLHUIN,1994-07-01,2008-04-17,null,AR,-54.7,-67.25,105
87688099999,TRES ARROYOS,1973-01-01,2020-04-07,null,AR,-38.386911,-60.329711,121.92
87120099999,TUCUMAN/TENIENTE BE,1957-07-01,1981-09-20,null,AR,-26.833,-65.2,422
87405099999,USPALLATA,1973-01-03,2020-04-07,null,AR,-32.6,-69.3333333,1844
87329099999,VALLE DEL CONLARA,2004-08-03,2017-03-02,null,AR,-32.384669,-65.186522,616
87047599999,VAQUEROS SOUTH,1974-04-19,1974-08-10,null,AR,-24.75,-65.433,1261
87468099999,VENADO TUERTO AERO,1989-05-11,2017-03-02,null,AR,-33.6666666,-61.9666666,112
87478099999,VICTORIA,1973-01-07,1976-06-22,null,AR,-32.617,-60.183,29
87616099999,VICTORICA,1975-02-15,1977-04-27,null,AR,-36.217,-65.433,312
87328099999,VILLA DOLORES,1973-01-01,2020-04-07,null,AR,-31.945183,-65.146283,583.69
87663099999,VILLA GESELL,1976-10-01,1991-03-11,null,AR,-37.235408,-57.029239,9.75
87244099999,VILLA MARIA DEL RIO,1973-01-01,2020-04-07,null,AR,-29.9,-63.6833333,341
87281099999,VILLA MERCEDES/AAFB,1973-01-13,1973-09-07,null,AR,-29.217,-58.083,107
87448099999,VILLA REYNOLDS,1973-01-01,2020-04-07,null,AR,-33.729942,-65.387419,484.93
87385099999,VILLAGUAY,1973-01-02,1989-12-23,null,AR,-31.85,-59.0833333,43
